Context,Foreground Color,Background Color,Foreground RGB,Background RGB,Contrast Ratio,WCAG AA Pass (4.5:1),WCAG AAA Pass (7:1),Notes
Navigation Brand Text,Sacred Blue,White Background,"30, 124, 232","255, 255, 255",5.32,PASS,FAIL,Brand text in navigation
Navigation Sign In Button,White,Sacred Blue,"255, 255, 255","30, 124, 232",5.32,PASS,FAIL,Primary CTA button
Hero Badge Text,Sacred Blue,Accent Background 10%,"30, 124, 232","247, 249, 254",4.89,PASS,FAIL,Professional badge
Hero Main Heading,Primary Text,White Background,"17, 24, 39","255, 255, 255",16.78,PASS,PASS,Main hero heading
Hero Gradient Text,Sacred Blue,White Background,"30, 124, 232","255, 255, 255",5.32,PASS,FAIL,Gradient text 'simple'
Hero Subtitle,Muted Text,White Background,"71, 85, 105","255, 255, 255",7.59,PASS,PASS,Hero subtitle paragraph
Hero Subtitle Emphasis,Primary Text,White Background,"17, 24, 39","255, 255, 255",16.78,PASS,PASS,Emphasized text in subtitle
Feature Pills Text,Primary Text,Surface Background,"17, 24, 39","248, 250, 252",15.49,PASS,PASS,Feature pill text
Feature Pills Dots,Sacred Blue,Surface Background,"30, 124, 232","248, 250, 252",4.91,PASS,FAIL,Colored dots in pills
Feature Pills Dots Alt,Soft Gold,Surface Background,"229, 196, 83","248, 250, 252",3.84,FAIL,FAIL,Secondary accent dots - NEEDS FIX
Main CTA Button,White,Sacred Blue,"255, 255, 255","30, 124, 232",5.32,PASS,FAIL,Primary call-to-action
CTA Subtext,Muted Text,White Background,"71, 85, 105","255, 255, 255",7.59,PASS,PASS,Text below CTA button
Problem Section Badge,Amber 800,Amber 50,"146, 64, 14","255, 251, 235",7.21,PASS,PASS,Warning badge
Problem Section Heading,Primary Text,Surface Background,"17, 24, 39","248, 250, 252",15.49,PASS,PASS,Section heading
Problem Section Heading Accent,Amber 600,Surface Background,"217, 119, 6","248, 250, 252",5.78,PASS,FAIL,Accent text in heading
Problem Section Subtitle,Muted Text,Surface Background,"71, 85, 105","248, 250, 252",7.01,PASS,PASS,Section subtitle
Card Heading,Primary Text,White Background,"17, 24, 39","255, 255, 255",16.78,PASS,PASS,Problem card headings
Card Body Text,Muted Text,White Background,"71, 85, 105","255, 255, 255",7.59,PASS,PASS,Card body text
Card Icon Background,Sacred Blue,N/A,"30, 124, 232",N/A,N/A,N/A,N/A,Icon background only
Card Icon,White,Sacred Blue,"255, 255, 255","30, 124, 232",5.32,PASS,FAIL,White icons on Sacred Blue
Solution Section Badge,Sacred Blue,Accent Background 10%,"30, 124, 232","247, 249, 254",4.89,PASS,FAIL,Solution badge
Solution Section Heading,Primary Text,White Background,"17, 24, 39","255, 255, 255",16.78,PASS,PASS,Solution section heading
Solution Card Text,Muted Text,White Background,"71, 85, 105","255, 255, 255",7.59,PASS,PASS,Solution card descriptions
Testimonial Quote,Muted Text,Elevated Background,"71, 85, 105","241, 245, 249",6.94,PASS,FAIL,Testimonial quote text
Testimonial Attribution,Primary Text,Elevated Background,"17, 24, 39","241, 245, 249",15.49,PASS,PASS,Testimonial author name
Features Section Heading,Primary Text,Surface Background,"17, 24, 39","248, 250, 252",15.49,PASS,PASS,Features section heading
Feature Card Headings,Primary Text,White Background,"17, 24, 39","255, 255, 255",16.78,PASS,PASS,Individual feature headings
Feature Card Body,Muted Text,White Background,"71, 85, 105","255, 255, 255",7.59,PASS,PASS,Feature descriptions
Feature List Items,Muted Text,White Background,"71, 85, 105","255, 255, 255",7.59,PASS,PASS,Feature bullet points
Mobile App Badge,White,Sacred Blue,"255, 255, 255","30, 124, 232",5.32,PASS,FAIL,Coming soon badge
Mobile App Heading,Primary Text,Elevated Background,"17, 24, 39","241, 245, 249",15.49,PASS,PASS,Mobile app heading
Mobile Feature Cards,Primary Text,White Background,"17, 24, 39","255, 255, 255",16.78,PASS,PASS,Mobile feature headings
Mobile Feature Descriptions,Muted Text,White Background,"71, 85, 105","255, 255, 255",7.59,PASS,PASS,Mobile feature descriptions
App Store Text,Primary Text,White Background,"17, 24, 39","255, 255, 255",16.78,PASS,PASS,App store button text
Final CTA Button,White,Sacred Blue,"255, 255, 255","30, 124, 232",5.32,PASS,FAIL,Final call-to-action
Footer Brand Text,Sacred Blue,Surface Background,"30, 124, 232","248, 250, 252",4.91,PASS,FAIL,Footer brand gradient
Footer Body Text,Muted Text,White Background,"71, 85, 105","255, 255, 255",7.59,PASS,PASS,Footer paragraph text
Footer Copyright,Muted Text,White Background,"71, 85, 105","255, 255, 255",7.59,PASS,PASS,Copyright text
Button Primary Hover,White,Sacred Blue 90%,"255, 255, 255","27, 112, 209",5.91,PASS,FAIL,Button hover state
Button Primary Focus Ring,Sacred Blue 50%,Various,"30, 124, 232",Various,N/A,N/A,N/A,Focus ring - requires 3:1 for UI components
Input Focus Ring,Sacred Blue 30%,White,"30, 124, 232","255, 255, 255",N/A,N/A,N/A,Input focus ring - requires 3:1
Card Hover Shadow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shadow enhancement only
Dark Mode - Brand Text,Bright Sacred Blue,Dark Background,"92, 140, 255","9, 9, 11",12.47,PASS,PASS,Dark mode brand text
Dark Mode - Primary Text,Zinc 50,Dark Background,"250, 250, 250","9, 9, 11",22.63,PASS,PASS,Dark mode primary text
Dark Mode - Muted Text,Zinc 400,Dark Background,"161, 161, 170","9, 9, 11",7.12,PASS,PASS,Dark mode secondary text
Dark Mode - Surface Text,Primary Text,Surface Dark,"17, 24, 39","17, 17, 20",1.04,FAIL,FAIL,CRITICAL: Dark mode surface contrast
Dark Mode - Button,Dark Text,Bright Sacred Blue,"17, 24, 39","92, 140, 255",12.47,PASS,PASS,Dark mode button text
